Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12389,398,3,1433.33,1,2,3,123,Cannot Lose Them
12390,75,1,549.84,3,1,2,312,Potential Loyalists
12391,17,6,2724.84,4,3,4,434,Champions
12392,586,1,234.75000000000003,1,1,1,111,Lost
12393,67,6,2399.45,3,3,4,334,Champions
12394,59,2,1272.48,3,2,3,323,Loyal Customers
12395,14,15,5067.27,4,4,4,444,Champions
12396,669,1,931.4300000000001,1,1,3,113,Cannot Lose Them
12397,31,2,2409.9,3,2,4,324,Loyal Customers
12398,41,1,1635.6599999999999,3,1,3,313,Potential Loyalists
12399,115,7,1962.3,2,3,3,233,At Risk
12400,409,1,205.25,1,1,1,111,Lost
12401,298,1,84.3,2,1,1,211,Lost
12402,318,6,1256.9,2,3,3,233,At Risk
12403,45,2,1019.36,3,2,3,323,Loyal Customers
12404,677,1,63.24,1,1,1,111,Lost
12405,144,1,1710.39,2,1,3,213,Cannot Lose Them
12406,17,5,6390.36,4,3,4,434,Champions
12407,45,5,1708.12,3,3,3,333,Champions
12408,28,8,4340.77,3,4,4,344,Champions
12409,74,7,23419.29,3,3,4,334,Champions
12410,304,3,1013.71,2,2,3,223,At Risk
12411,405,1,346.9,1,1,2,112,Lost
12412,70,6,2596.93,3,3,4,334,Champions
12413,62,4,999.45,3,3,3,333,Champions
12414,212,6,952.4100000000001,2,3,3,233,At Risk
12415,19,28,144458.37,4,4,4,444,Champions
12416,652,1,202.56,1,1,1,111,Lost
12417,34,19,6427.68,3,4,4,344,Champions
12418,108,4,2021.2,2,3,3,233,At Risk
12419,381,2,503.01,1,2,2,122,Lost
12420,59,1,600.39,3,1,2,312,Potential Loyalists
12421,11,6,1098.6,4,3,3,433,Champions
12422,91,17,5231.8,3,4,4,344,Champions
12423,96,9,2413.75,3,4,4,344,Champions
12424,158,4,3340.0299999999997,2,3,4,234,At Risk
12425,73,2,1741.41,3,2,3,323,Loyal Customers
12426,190,2,1345.21,2,2,3,223,At Risk
12427,17,3,1129.3,4,2,3,423,Loyal Customers
12428,21,9,7956.46,4,4,4,444,Champions
12429,4,8,7485.91,4,4,4,444,Champions
12430,38,1,256.4,3,1,1,311,Potential Loyalists
12431,31,27,10790.470000000001,3,4,4,344,Champions
12432,38,5,5059.32,3,3,4,334,Champions
12433,4,8,17942.57,4,4,4,444,Champions
12434,80,3,1103.43,3,2,3,323,Loyal Customers
12435,75,6,13925.93,3,3,4,334,Champions
12436,95,1,509.01,3,1,2,312,Potential Loyalists
12437,4,38,12517.5,4,4,4,444,Champions
12438,9,2,2906.85,4,2,4,424,Loyal Customers
12439,678,2,1142.88,1,2,3,123,Cannot Lose Them
12440,458,2,859.2,1,2,2,122,Lost
12441,361,1,347.1,2,1,2,212,Lost
12443,727,1,485.31,1,1,2,112,Lost
12444,16,5,5005.46,4,3,4,434,Champions
12445,17,2,434.98,4,2,2,422,Loyal Customers
12446,53,1,1002.3100000000001,3,1,3,313,Potential Loyalists
12447,238,1,476.49,2,1,2,212,Lost
12448,39,1,449.45,3,1,2,312,Potential Loyalists
12449,17,6,4835.89,4,3,4,434,Champions
12450,151,5,688.2,2,3,2,232,At Risk
12451,6,8,12669.88,4,4,4,444,Champions
12452,12,2,430.57000000000005,4,2,2,422,Loyal Customers
12453,129,1,707.09,2,1,2,212,Lost
12454,51,5,16679.78,3,3,4,334,Champions
12455,68,10,5879.95,3,4,4,344,Champions
12456,39,3,3181.04,3,2,4,324,Loyal Customers
12457,62,8,2995.91,3,4,4,344,Champions
12458,66,4,1777.49,3,3,3,333,Champions
12459,600,1,454.36,1,1,2,112,Lost
12460,451,1,326.65,1,1,1,111,Lost
12461,89,2,826.88,3,2,2,322,Loyal Customers
12462,14,2,1189.59,4,2,3,423,Loyal Customers
12463,48,4,1344.78,3,3,3,333,Champions
12464,5,8,1212.05,4,4,3,443,Champions
12465,12,2,742.19,4,2,2,422,Loyal Customers
12466,677,1,56.73,1,1,1,111,Lost
12467,418,1,132.8,1,1,1,111,Lost
12468,183,5,3670.7400000000002,2,3,4,234,At Risk
12469,518,2,3070.54,1,2,4,124,Cannot Lose Them
12470,685,1,211.95,1,1,1,111,Lost
12471,6,78,37679.68,4,4,4,444,Champions
12472,27,19,17880.59,3,4,4,344,Champions
12473,24,5,3928.05,4,3,4,434,Champions
12474,12,31,12372.75,4,4,4,444,Champions
12475,49,2,1149.64,3,2,3,323,Loyal Customers
12476,11,23,14083.91,4,4,4,444,Champions
12477,18,9,20276.37,4,4,4,444,Champions
12479,6,1,527.2,4,1,2,412,Potential Loyalists
12480,23,7,5464.85,4,3,4,434,Champions
12481,18,15,12344.89,4,4,4,444,Champions
12482,571,29,23691.4,1,4,4,144,Hibernating
12483,12,19,5097.18,4,4,4,444,Champions
12484,28,12,6354.1,3,4,4,344,Champions
12485,524,1,708.1,1,1,2,112,Lost
12486,427,1,1037.28,1,1,3,113,Cannot Lose Them
12487,726,1,285.3,1,1,1,111,Lost
12488,5,3,1298.66,4,2,3,423,Loyal Customers
12489,332,1,334.93,2,1,1,211,Lost
12490,13,20,9361.34,4,4,4,444,Champions
12491,34,1,460.40000000000003,3,1,2,312,Potential Loyalists
12492,58,3,715.21,3,2,2,322,Loyal Customers
12493,161,2,433.74,2,2,2,222,At Risk
12494,11,9,1872.8700000000001,4,4,3,443,Champions
12495,636,1,357.4,1,1,2,112,Lost
12496,615,2,45.34,1,2,1,121,Lost
12497,77,3,6248.5,3,2,4,324,Loyal Customers
12498,17,3,403.70000000000005,4,2,2,422,Loyal Customers
12499,555,1,393.72,1,1,2,112,Lost
12500,18,19,5955.21,4,4,4,444,Champions
12501,332,1,2169.39,2,1,3,213,Cannot Lose Them
12502,91,5,3723.87,3,3,4,334,Champions
12503,579,1,1126.0,1,1,3,113,Cannot Lose Them
12504,13,4,779.05,4,3,2,432,Loyal Customers
12505,404,1,955.2,1,1,3,113,Cannot Lose Them
12506,228,1,73.5,2,1,1,211,Lost
12507,129,4,1844.06,2,3,3,233,At Risk
12508,21,2,397.88,4,2,2,422,Loyal Customers
12509,279,1,176.5,2,1,1,211,Lost
12510,138,9,5178.02,2,4,4,244,At Risk
12511,424,1,3084.02,1,1,4,114,Cannot Lose Them
12512,61,2,132.18,3,2,1,321,Loyal Customers
12513,108,1,612.29,2,1,2,212,Lost
12514,262,2,1597.76,2,2,3,223,At Risk
12515,348,1,383.7,2,1,2,212,Lost
12516,73,4,2648.62,3,3,4,334,Champions
12517,23,5,2481.6,4,3,4,434,Champions
12518,24,4,1717.75,4,3,3,433,Champions
12519,59,2,716.54,3,2,2,322,Loyal Customers
12520,74,5,2634.26,3,3,4,334,Champions
12521,138,1,599.68,2,1,2,212,Lost
12522,34,2,192.72,3,2,1,321,Loyal Customers
12523,15,23,4352.35,4,4,4,444,Champions
12524,4,17,11126.11,4,4,4,444,Champions
12525,493,3,973.73,1,2,3,123,Cannot Lose Them
12526,49,2,1039.58,3,2,3,323,Loyal Customers
12527,77,5,735.51,3,3,2,332,Loyal Customers
12528,4,6,1933.48,4,3,3,433,Champions
12529,524,1,316.48,1,1,1,111,Lost
12530,55,9,3759.26,3,4,4,344,Champions
12531,10,2,1933.2,4,2,3,423,Loyal Customers
12532,25,1,349.83000000000004,4,1,2,412,Potential Loyalists
12533,623,2,1367.89,1,2,3,123,Cannot Lose Them
12534,126,1,1089.18,2,1,3,213,Cannot Lose Them
12535,87,2,716.35,3,2,2,322,Loyal Customers
12536,38,3,12601.830000000002,3,2,4,324,Loyal Customers
12537,404,1,732.94,1,1,2,112,Lost
12538,24,2,640.45,4,2,2,422,Loyal Customers
12539,17,7,11214.75,4,3,4,434,Champions
12540,15,33,22254.49,4,4,4,444,Champions
12541,25,3,981.18,4,2,3,423,Loyal Customers
12542,479,2,481.88,1,2,2,122,Lost
12543,443,1,980.25,1,1,3,113,Cannot Lose Them
12544,31,1,372.7,3,1,2,312,Potential Loyalists
12545,70,2,1000.39,3,2,3,323,Loyal Customers
12546,42,2,1161.5,3,2,3,323,Loyal Customers
12547,193,3,383.58,2,2,2,222,At Risk
12548,161,1,95.19999999999999,2,1,1,211,Lost
12549,571,6,1575.68,1,3,3,133,Hibernating
12550,74,1,964.83,3,1,3,313,Potential Loyalists
12551,353,1,168.0,2,1,1,211,Lost
12552,34,2,437.82,3,2,2,322,Loyal Customers
12553,3,12,4608.75,4,4,4,444,Champions
12554,444,1,468.5,1,1,2,112,Lost
12555,677,1,129.23,1,1,1,111,Lost
12556,46,2,599.56,3,2,2,322,Loyal Customers
12557,11,8,18716.14,4,4,4,444,Champions
12558,3,1,269.96,4,1,1,411,Potential Loyalists
12559,306,2,561.71,2,2,2,222,At Risk
12560,107,2,1436.31,2,2,3,223,At Risk
12561,298,1,238.85,2,1,1,211,Lost
12562,3,9,4966.92,4,4,4,444,Champions
12563,404,1,249.24,1,1,1,111,Lost
12564,256,1,456.90000000000003,2,1,2,212,Lost
12565,284,1,145.92000000000002,2,1,1,211,Lost
12566,81,1,351.65,3,1,2,312,Potential Loyalists
12567,18,15,13709.86,4,4,4,444,Champions
12568,640,1,70.0,1,1,1,111,Lost
12569,3,28,3704.86,4,4,4,444,Champions
12570,677,1,77.52,1,1,1,111,Lost
12571,35,2,519.61,3,2,2,322,Loyal Customers
12572,4,2,1020.4200000000001,4,2,3,423,Loyal Customers
12573,222,5,717.41,2,3,2,232,At Risk
12574,311,1,218.45000000000002,2,1,1,211,Lost
12575,453,2,622.82,1,2,2,122,Lost
12576,31,8,2142.7200000000003,3,4,3,343,Champions
12577,30,8,1617.1,3,4,3,343,Champions
12578,16,4,4642.45,4,3,4,434,Champions
12579,73,1,440.42,3,1,2,312,Potential Loyalists
12580,242,2,1052.9,2,2,3,223,At Risk
12581,35,1,197.71,3,1,1,311,Potential Loyalists
12582,234,4,1980.4,2,3,3,233,At Risk
12583,14,26,13752.67,4,4,4,444,Champions
12584,13,8,2137.7,4,4,3,443,Champions
12585,229,2,2040.1,2,2,3,223,At Risk
12586,12,4,2062.67,4,3,3,433,Champions
12587,3,1,144.0,4,1,1,411,Potential Loyalists
12588,34,4,958.78,3,3,3,333,Champions
12589,24,8,4695.66,4,4,4,444,Champions
12590,206,2,9864.26,2,2,4,224,At Risk
12591,312,3,1338.95,2,2,3,223,At Risk
12592,87,5,2582.66,3,3,4,334,Champions
12593,104,3,418.1,2,2,2,222,At Risk
12594,33,15,5090.110000000001,3,4,4,344,Champions
12595,500,1,299.02,1,1,1,111,Lost
12596,47,2,618.27,3,2,2,322,Loyal Customers
12597,14,4,3811.22,4,3,4,434,Champions
12598,5,11,4534.09,4,4,4,444,Champions
12599,24,13,2296.72,4,4,4,444,Champions
12600,24,21,5043.92,4,4,4,444,Champions
12601,185,6,681.26,2,3,2,232,At Risk
12602,54,1,153.12,3,1,1,311,Potential Loyalists
12603,17,1,739.1999999999999,4,1,2,412,Potential Loyalists
12604,74,2,254.18,3,2,1,321,Loyal Customers
12605,371,4,1232.95,2,3,3,233,At Risk
12606,677,1,21.0,1,1,1,111,Lost
12607,55,1,1579.51,3,1,3,313,Potential Loyalists
12608,400,1,415.79,1,1,2,112,Lost
12609,73,9,3435.86,3,4,4,344,Champions
12610,18,5,2099.54,4,3,3,433,Champions
12611,48,1,1193.32,3,1,3,313,Potential Loyalists
12612,69,1,704.04,3,1,2,312,Potential Loyalists
12613,52,10,6817.37,3,4,4,344,Champions
12614,273,1,315.6,2,1,1,211,Lost
12615,32,7,5318.13,3,3,4,334,Champions
12616,90,3,1131.1,3,2,3,323,Loyal Customers
12617,24,1,352.98,4,1,2,412,Potential Loyalists
12618,17,1,177.31,4,1,1,411,Potential Loyalists
12619,11,10,3781.38,4,4,4,444,Champions
12620,10,3,1339.41,4,2,3,423,Loyal Customers
12621,19,34,23587.61,4,4,4,444,Champions
12622,227,1,180.1,2,1,1,211,Lost
12623,271,7,3747.84,2,3,4,234,At Risk
12624,101,2,641.13,3,2,2,322,Loyal Customers
12625,207,4,5164.88,2,3,4,234,At Risk
12626,18,9,6620.4800000000005,4,4,4,444,Champions
12627,6,7,4478.53,4,3,4,434,Champions
12628,28,2,571.21,3,2,2,322,Loyal Customers
12629,381,2,1558.22,1,2,3,123,Cannot Lose Them
12630,5,2,1270.88,4,2,3,423,Loyal Customers
12631,52,6,3481.57,3,3,4,334,Champions
12632,516,2,804.88,1,2,2,122,Lost
12633,54,7,5678.16,3,3,4,334,Champions
12634,531,2,490.0,1,2,2,122,Lost
12635,85,4,2930.41,3,3,4,334,Champions
12636,734,1,141.0,1,1,1,111,Lost
12637,62,12,8283.81,3,4,4,344,Champions
12638,29,2,921.49,3,2,3,323,Loyal Customers
12639,234,3,1312.3700000000001,2,2,3,223,At Risk
12640,19,3,1174.58,4,2,3,423,Loyal Customers
12641,110,1,185.9,2,1,1,211,Lost
12642,20,3,1013.26,4,2,3,423,Loyal Customers
12643,124,12,8304.82,2,4,4,244,At Risk
12644,125,4,1918.49,2,3,3,233,At Risk
12645,29,8,3539.3,3,4,4,344,Champions
12646,45,1,731.69,3,1,2,312,Potential Loyalists
12647,18,36,17924.35,4,4,4,444,Champions
12648,150,4,1112.0,2,3,3,233,At Risk
12649,102,8,2294.65,2,4,4,244,At Risk
12651,330,4,377.75,2,3,2,232,At Risk
12652,326,2,1017.0300000000001,2,2,3,223,At Risk
12653,144,3,4160.83,2,2,4,224,At Risk
12654,6,5,601.98,4,3,2,432,Loyal Customers
12655,419,1,261.35,1,1,1,111,Lost
12656,12,8,6407.83,4,4,4,444,Champions
12657,6,4,1643.18,4,3,3,433,Champions
12658,14,1,686.05,4,1,2,412,Potential Loyalists
12659,25,1,91.68,4,1,1,411,Potential Loyalists
12660,6,1,245.10000000000002,4,1,1,411,Potential Loyalists
12661,431,1,162.0,1,1,1,111,Lost
12662,18,19,6763.070000000001,4,4,4,444,Champions
12663,620,2,239.4,1,2,1,121,Lost
12664,3,11,6070.04,4,4,4,444,Champions
12665,320,3,313.6,2,2,1,221,At Risk
12666,389,1,1248.42,1,1,3,113,Cannot Lose Them
12667,53,1,620.13,3,1,2,312,Potential Loyalists
12668,7,10,11383.03,4,4,4,444,Champions
12669,146,3,2744.0299999999997,2,2,4,224,At Risk
12670,5,7,3760.29,4,3,4,434,Champions
12671,601,1,2622.481,1,1,4,114,Cannot Lose Them
12672,325,2,437.05,2,2,2,222,At Risk
12673,322,2,840.4,2,2,2,222,At Risk
12674,34,4,1970.6,3,3,3,333,Champions
12675,549,2,957.25,1,2,3,123,Cannot Lose Them
12676,20,11,2843.09,4,4,4,444,Champions
12677,550,2,395.1,1,2,2,122,Lost
12678,38,21,34281.18,3,4,4,344,Champions
12679,54,4,1113.02,3,3,3,333,Champions
12680,69,3,613.36,3,2,2,322,Loyal Customers
12681,10,45,30868.28,4,4,4,444,Champions
12682,4,51,23388.88,4,4,4,444,Champions
12683,45,19,11899.3,3,4,4,344,Champions
12684,3,7,2283.63,4,3,4,434,Champions
12685,23,6,2863.08,4,3,4,434,Champions
12686,363,1,178.28,2,1,1,211,Lost
12687,476,2,2138.91,1,2,3,123,Cannot Lose Them
12688,109,1,4873.81,2,1,4,214,Cannot Lose Them
12689,21,2,1247.6100000000001,4,2,3,423,Loyal Customers
12690,201,1,389.01,2,1,2,212,Lost
12691,23,7,1170.4,4,3,3,433,Champions
12692,632,1,110.95,1,1,1,111,Lost
12693,122,7,1703.02,2,3,3,233,At Risk
12694,66,3,1843.35,3,2,3,323,Loyal Customers
12695,2,7,1407.1200000000001,4,3,3,433,Champions
12696,430,2,851.91,1,2,2,122,Lost
12697,24,3,957.59,4,2,3,423,Loyal Customers
12698,585,1,339.75,1,1,1,111,Lost
12699,413,1,638.11,1,1,2,112,Lost
12700,3,4,4939.99,4,3,4,434,Champions
12701,75,6,2446.41,3,3,4,334,Champions
12702,15,1,219.0,4,1,1,411,Potential Loyalists
12703,66,4,1006.53,3,3,3,333,Champions
12704,3,8,2340.84,4,4,4,444,Champions
12705,10,14,11762.1,4,4,4,444,Champions
12707,287,1,603.42,2,1,2,212,Lost
12708,25,18,5314.1,4,4,4,444,Champions
12709,10,34,30814.46,4,4,4,444,Champions
12710,92,3,1149.02,3,2,3,323,Loyal Customers
12711,607,2,1339.05,1,2,3,123,Cannot Lose Them
12712,24,21,7193.66,4,4,4,444,Champions
12714,4,12,14093.710000000001,4,4,4,444,Champions
12715,101,1,343.36,3,1,2,312,Potential Loyalists
12716,128,1,677.9,2,1,2,212,Lost
12717,146,3,1308.91,2,2,3,223,At Risk
12718,66,1,238.25,3,1,1,311,Potential Loyalists
12719,60,1,283.6,3,1,1,311,Potential Loyalists
12720,10,29,7878.2,4,4,4,444,Champions
12721,27,8,4013.08,3,4,4,344,Champions
12722,80,4,997.63,3,3,3,333,Champions
12723,11,4,647.79,4,3,2,432,Loyal Customers
12724,77,6,2109.28,3,3,3,333,Champions
12725,362,4,2694.56,2,3,4,234,At Risk
12726,23,11,4014.6,4,4,4,444,Champions
12727,6,10,5679.53,4,4,4,444,Champions
12728,66,5,1070.17,3,3,3,333,Champions
12729,109,1,453.01,2,1,2,212,Lost
12730,517,1,829.25,1,1,2,112,Lost
12731,19,17,25775.71,4,4,4,444,Champions
12732,175,1,236.26000000000002,2,1,1,211,Lost
12733,229,4,2424.87,2,3,4,234,At Risk
12734,348,3,639.65,2,2,2,222,At Risk
12735,310,2,779.5699999999999,2,2,2,222,At Risk
12736,328,1,234.0,2,1,1,211,Lost
12737,494,2,3710.5,1,2,4,124,Cannot Lose Them
12738,363,1,310.7,2,1,1,211,Lost
12739,74,4,2726.73,3,3,4,334,Champions
12740,59,1,427.6,3,1,2,312,Potential Loyalists
12741,524,2,406.07,1,2,2,122,Lost
12742,621,1,1201.52,1,1,3,113,Cannot Lose Them
12743,129,2,540.13,2,2,2,222,At Risk
12744,47,11,25317.06,3,4,4,344,Champions
12745,482,3,925.41,1,2,3,123,Cannot Lose Them
12746,536,1,254.55,1,1,1,111,Lost
12747,17,25,8818.54,4,4,4,444,Champions
12748,1,331,54819.23,4,4,4,444,Champions
12749,18,8,6134.3,4,4,4,444,Champions
12750,124,1,275.88,2,1,1,211,Lost
12751,440,1,268.27,1,1,1,111,Lost
12752,76,1,4366.78,3,1,4,314,Potential Loyalists
12753,18,6,21429.39,4,3,4,434,Champions
12754,231,3,3010.74,2,2,4,224,At Risk
12755,276,11,9030.66,2,4,4,244,At Risk
12756,82,1,112.08,3,1,1,311,Potential Loyalists
12757,11,13,7834.650000000001,4,4,4,444,Champions
12758,112,7,9903.24,2,3,4,234,At Risk
12759,47,8,5020.74,3,4,4,344,Champions
12760,451,1,347.8,1,1,2,112,Lost
12761,453,2,782.95,1,2,2,122,Lost
12762,3,2,1898.52,4,2,3,423,Loyal Customers
12763,133,2,814.16,2,2,2,222,At Risk
12764,312,1,1693.88,2,1,3,213,Cannot Lose Them
12765,467,6,1404.58,1,3,3,133,Hibernating
12766,53,8,9349.85,3,4,4,344,Champions
12767,371,1,949.82,2,1,3,213,Cannot Lose Them
12768,446,1,168.69,1,1,1,111,Lost
12769,234,1,1143.6,2,1,3,213,Cannot Lose Them
12770,206,2,3246.45,2,2,4,224,At Risk
12771,481,1,282.3,1,1,1,111,Lost
12772,55,1,892.47,3,1,3,313,Potential Loyalists
12773,559,1,124.25,1,1,1,111,Lost
12774,531,1,98.7,1,1,1,111,Lost
12775,12,7,1686.1200000000001,4,3,3,433,Champions
12776,663,1,55.5,1,1,1,111,Lost
12777,453,1,519.45,1,1,2,112,Lost
12778,15,9,1775.68,4,4,3,443,Champions
12779,33,14,6722.2699999999995,3,4,4,344,Champions
12780,594,1,337.4,1,1,1,111,Lost
12781,59,2,826.74,3,2,2,322,Loyal Customers
12782,145,10,4365.99,2,4,4,244,At Risk
12783,28,5,1825.33,3,3,3,333,Champions
12784,4,3,1763.15,4,2,3,423,Loyal Customers
12785,359,3,1100.4,2,2,3,223,At Risk
12786,605,1,728.5000000000001,1,1,2,112,Lost
12787,5,4,862.1800000000001,4,3,2,432,Loyal Customers
12788,458,4,444.90000000000003,1,3,2,132,Hibernating
12789,60,3,273.35,3,2,1,321,Loyal Customers
12790,187,2,591.85,2,2,2,222,At Risk
12791,364,6,1056.1100000000001,2,3,3,233,At Risk
12792,252,2,827.01,2,2,2,222,At Risk
12793,330,3,1017.33,2,2,3,223,At Risk
12794,48,2,860.41,3,2,2,322,Loyal Customers
12795,14,1,430.48,4,1,2,412,Potential Loyalists
12796,623,1,381.0,1,1,2,112,Lost
12797,360,2,806.11,2,2,2,222,At Risk
12798,5,4,8510.93,4,3,4,434,Champions
12799,524,1,219.35,1,1,1,111,Lost
12800,465,3,584.25,1,2,2,122,Lost
12801,496,1,1071.82,1,1,3,113,Cannot Lose Them
12802,182,7,2416.42,2,3,4,234,At Risk
12803,388,1,1092.81,1,1,3,113,Cannot Lose Them
12804,461,2,325.37,1,2,1,121,Lost
12805,377,4,1434.95,1,3,3,133,Hibernating
12806,430,4,2878.96,1,3,4,134,Hibernating
12807,378,1,330.35,1,1,1,111,Lost
12808,32,5,906.1,3,3,3,333,Champions
12809,173,3,1755.94,2,2,3,223,At Risk
12810,530,2,534.99,1,2,2,122,Lost
12811,256,5,1033.9,2,3,3,233,At Risk
12812,40,1,229.64000000000001,3,1,1,311,Potential Loyalists
12813,497,3,1687.8,1,2,3,123,Cannot Lose Them
12814,97,1,125.92,3,1,1,311,Potential Loyalists
12815,143,2,1063.46,2,2,3,223,At Risk
12816,91,2,572.2,3,2,2,322,Loyal Customers
12817,276,3,690.98,2,2,2,222,At Risk
12818,257,1,1542.08,2,1,3,213,Cannot Lose Them
12819,453,1,540.52,1,1,2,112,Lost
12820,39,10,2479.17,3,4,4,344,Champions
12821,209,2,220.8,2,2,1,221,At Risk
12822,66,2,948.88,3,2,3,323,Loyal Customers
12823,70,18,6501.5,3,4,4,344,Champions
12824,55,1,397.12,3,1,2,312,Potential Loyalists
12825,516,2,518.63,1,2,2,122,Lost
12826,24,11,2813.15,4,4,4,444,Champions
12827,1,3,430.15,4,2,2,422,Loyal Customers
12828,3,5,935.09,4,3,3,433,Champions
12829,332,3,385.3,2,2,2,222,At Risk
12830,33,6,6814.64,3,3,4,334,Champions
12831,258,3,451.11,2,2,2,222,At Risk
12832,27,2,383.03000000000003,3,2,2,322,Loyal Customers
12833,140,1,417.38,2,1,2,212,Lost
12834,278,1,312.38,2,1,1,211,Lost
12835,423,41,5996.83,1,4,4,144,Hibernating
12836,54,15,6559.7300000000005,3,4,4,344,Champions
12837,168,2,662.66,2,2,2,222,At Risk
12838,29,10,3366.7,3,4,4,344,Champions
12839,7,25,9319.34,4,4,4,444,Champions
12840,139,7,4041.9700000000003,2,3,4,234,At Risk
12841,10,38,7313.18,4,4,4,444,Champions
12842,65,4,1917.99,3,3,3,333,Champions
12843,61,30,6583.36,3,4,4,344,Champions
12844,24,4,648.6,4,3,2,432,Loyal Customers
12845,262,4,354.09000000000003,2,3,2,232,At Risk
12846,677,1,15.58,1,1,1,111,Lost
12847,17,2,1609.0,4,2,3,423,Loyal Customers
12848,671,1,208.0,1,1,1,111,Lost
12849,26,6,3042.4700000000003,4,3,4,434,Champions
12850,441,1,330.0,1,1,1,111,Lost
12851,92,2,280.76,3,2,1,321,Loyal Customers
12852,290,1,311.55,2,1,1,211,Lost
12853,130,11,3907.5,2,4,4,244,At Risk
12854,74,7,2970.9700000000003,3,3,4,334,Champions
12855,363,4,650.94,2,3,2,232,At Risk
12856,3,6,2170.78,4,3,3,433,Champions
12857,206,6,3688.0,2,3,4,234,At Risk
12858,379,1,147.27,1,1,1,111,Lost
12859,454,1,575.1,1,1,2,112,Lost
12860,688,1,54.22,1,1,1,111,Lost
12861,615,1,68.25,1,1,1,111,Lost
12862,421,2,984.62,1,2,3,123,Cannot Lose Them
12863,47,6,2792.55,3,3,4,334,Champions
12864,134,2,299.57,2,2,1,221,At Risk
12865,21,4,3323.4700000000003,4,3,4,434,Champions
12866,278,3,1227.35,2,2,3,223,At Risk
12867,21,13,7829.26,4,4,4,444,Champions
12868,181,8,2247.06,2,4,3,243,At Risk
12869,677,1,337.66999999999996,1,1,1,111,Lost
12870,370,3,1676.95,2,2,3,223,At Risk
12871,79,3,744.02,3,2,2,322,Loyal Customers
12872,322,12,3662.4900000000002,2,4,4,244,At Risk
12873,277,3,2027.3,2,2,3,223,At Risk
12874,380,2,948.42,1,2,3,123,Cannot Lose Them
12875,138,5,1356.9900000000002,2,3,3,233,At Risk
12876,53,4,4081.79,3,3,4,334,Champions
12877,19,19,2842.48,4,4,4,444,Champions
12878,232,2,854.99,2,2,2,222,At Risk
12879,40,3,573.22,3,2,2,322,Loyal Customers
12880,377,2,640.13,1,2,2,122,Lost
12881,271,1,298.0,2,1,1,211,Lost
12882,4,2,1463.04,4,2,3,423,Loyal Customers
12883,20,4,703.47,4,3,2,432,Loyal Customers
12884,84,1,309.05,3,1,1,311,Potential Loyalists
12885,58,3,1175.22,3,2,3,323,Loyal Customers
12886,63,2,1378.4,3,2,3,323,Loyal Customers
12887,379,1,222.4,1,1,1,111,Lost
12888,209,2,354.12,2,2,2,222,At Risk
12889,376,4,385.46000000000004,2,3,2,232,At Risk
12890,19,2,706.02,4,2,2,422,Loyal Customers
12891,181,11,840.5,2,4,2,242,At Risk
12892,392,1,263.38,1,1,1,111,Lost
12893,26,1,176.55,4,1,1,411,Potential Loyalists
12894,570,1,157.35,1,1,1,111,Lost
12895,37,2,372.8,3,2,2,322,Loyal Customers
12897,200,4,514.25,2,3,2,232,At Risk
